tshirt,positive_pant,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9
100058394,56967701,188358684,197809890,83552962,193004535,189293283,169906890,197482905,183322340,199649063
100428440,103449172,164950279,83301423,189769881,195944785,191167468,185753708,109407032,180068055,76069059
100470120,124065330,138838985,193589545,174467390,176334535,160132453,172478723,172614983,178899571,188069826
100667972,169963409,191626639,171751734,183469892,148823416,126042053,174687023,154908928,191376423,171802793
101183301,161429360,195395931,178763538,192392601,197090138,192065290,201897680,158662686,174593106,191285199
103061769,157846821,173537537,185721044,201903800,173945838,165990432,194660096,121173568,182595403,190229711
103534801,154147397,131745589,192212358,173164382,189746902,159015519,182422280,188078149,187946233,163319964
103572439,106114495,191596476,188376684,145959595,185538976,192748266,185090875,172023951,141316152,140856449
104361955,174115950,185770124,181208012,148173150,197316863,150244990,101291474,193096572,160565114,196675356
104377146,184516089,179249733,148258269,189630333,179998100,194632167,168095804,147291079,4308706,179591670
104904179,146363741,183678896,182948421,191291836,188373213,191689030,37705277,36085214,162034167,160499261
10494726,177754408,52465432,184208881,92140347,173679789,140957482,98320323,183772579,174172447,183050643
105876663,101275734,169263600,153710600,187419831,181870801,157685785,199777290,178604254,183858499,199815792
107720160,195529841,184910741,157449228,195521179,185170529,158138226,197954966,178279054,162049875,168298754
108059381,189871625,169644121,178441722,195219070,135638520,99095123,131277388,200057745,188371053,180274940
108086461,103730149,142946008,199279931,97344258,119498880,199893048,191935442,200052887,182203647,186450400
108617632,103431956,170883190,192745450,191280775,176387304,192417340,173713845,191701763,95842950,162476842
108870201,174131198,193840769,189544434,129647202,136713600,23523904,162090969,168898870,162173862,186077084
110242555,191772351,158664179,184003472,162018527,168410526,131127677,146458342,182574788,175017593,143927225
111332754,101303851,189641540,187001739,158900299,186840064,155983546,200382369,174337495,201471659,123604464
112186537,49876077,77418385,164542233,186922416,185090875,92579171,178276889,158316441,43579137,45740546
114418092,123524655,151293401,196860338,192838400,60041994,103251272,158140203,174325442,195189411,169358197
114726892,164252891,191987350,183869859,68159598,165521312,193976827,126175771,138023195,160815383,163605444
115329516,91667305,71372760,131770221,200980614,149521746,198027313,186676069,187976020,156304809,158571646
115442281,156926300,192362496,102413755,188939242,157028161,196288549,183828731,188823725,195286999,163249126
115621794,85354487,143083852,172913403,174334019,78350238,165558838,188929610,171225124,194628122,190264738
115700689,60399018,156752604,148895554,121296548,184225938,158205423,109407032,193199073,198727702,192476086
115917900,152450146,171031290,164542233,179914954,188749287,183404284,195299266,194832025,173788525,104027236
116873266,181158061,146335618,173653124,158230687,177395629,136100029,115139645,187623498,92059248,102492745
117752802,116845444,106708164,194673141,129511537,28347744,193493865,190030204,152544703,155738457,140776717
117807147,61063249,146151050,191224360,180979859,191613932,192768308,144955562,188839246,168020853,178356964
118255334,117497822,174238894,192905570,192408520,145659856,174361933,178172267,168192977,196431897,136838585
118502836,137385557,191649051,169963409,177316828,192338540,198066317,176343026,115761249,147198772,159599006
119294855,168735063,182108230,189324510,183839260,176703902,164683144,172478236,191029078,150658114,196727106
119575275,146802761,200651217,180233315,144086309,183021689,153402829,179801585,167803470,191503860,177125780
120038349,133848655,192936903,164019506,94853148,118359285,139340293,137778303,133403005,200277711,193694123
120259481,180000256,196288549,185748429,154692271,197895466,193222893,138007595,153640034,155628083,187938363
120404159,194367464,185745520,156841385,185214391,193642342,186803569,154420838,150802916,167528964,184927371
120473020,194377665,185088959,197216670,186331376,128381066,191695908,195987038,178402877,136804494,177321497
120838738,185767772,155608436,193058240,125651391,195895009,188049533,190965472,181161377,177355923,165581754
122333076,109326251,189757913,181070506,191298480,149672286,178547264,197595064,141472010,200959173,134874982
122726310,92579171,155429172,184429168,157484106,193490808,186335312,179485370,103449172,167382553,201058272
123296754,149732175,179805495,137357569,130004175,158491831,96244976,161190245,168949157,150642120,194924699
123500238,160035498,156853153,196924062,153665515,193561046,185849634,147912425,77607632,183735192,187727749
123897763,121912803,184609265,200052594,194349528,186870756,197907200,174963803,159144358,129976316,167848318
124443131,156744932,160116670,183754206,160064166,193161918,192038253,146551783,181433100,192392601,162656219
