tshirt,positive_pant,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9
156936231,161283661,203270772,155133360,88975310,127629500,97944457,77386992,208626557,156364945,110664141
68715839,69691538,208306599,176703525,93287891,141089056,97445748,65354882,210658622,178863119,113744255
204937173,195160647,199485099,167795076,91631259,138893104,61449364,64480665,201941196,170154075,128484746
208671281,196741277,176650500,15295573,193788713,27953586,10117163,155602068,176335838,210000671,119189042
199926646,148664612,41355019,23295556,21483449,92596508,157985628,34620305,207731567,169677343,100075213
63406798,61993551,201480472,166549738,96297475,131561421,96772086,76302468,204275633,168410364,119163204
153111360,143319696,204766250,170546933,92431538,134921732,97193531,76443642,208153045,171340977,119255939
14249415,14430215,72279518,69624138,67051404,98090503,151259828,7115914,60566557,163193817,100532766
194104978,164586423,180576424,151769916,197633060,98042118,100817453,155292988,178489632,35942415,135183641
166323430,141100377,197848010,162537212,86364906,125277947,92709020,65235302,204182121,166419658,112229531
42167235,50171288,18594449,159552763,98661563,13200036,99419440,57033914,189756520,163485464,114258526
34625531,131006260,202779095,161429360,89368133,134155491,69200510,71836073,203885922,162690426,118784051
67120150,70160494,190339483,161662506,82021637,126850168,91138945,5154736,194653320,163485464,116515497
195140835,176892142,208039964,172319069,91332393,135865547,47486635,59529628,209267174,176334535,111382691
141772554,124777540,56753546,48783531,25168758,91547898,158844998,54820823,21586209,170225163,101139077
80753218,58061839,221344103,181254409,96002750,141691855,70952468,76925438,24407853,183385172,125365383
155862650,153876663,194074988,160406435,89622870,128042519,64461089,65570689,203644938,161136127,117530414
203697049,171519099,204176669,139011561,211855620,212090040,102146882,145812436,154967941,158818910,118410238
171446564,114686458,207699340,175233791,88028281,140514679,53896118,62824025,210403274,176473748,128715609
40358075,20069980,215460281,182141241,94044162,134389933,9594361,70722066,26790381,187408602,119463405
12288418,14141172,197799616,174865566,92709020,135183641,66759682,73885379,212435764,180198227,111499219
81745665,81675822,200405674,160375251,92007868,131562511,94286989,62635857,201200057,166289087,114616791
93162192,50234002,207096769,176850201,87169754,149636852,93746009,67768462,210352959,176967343,121857222
174231949,166602358,191623217,160547133,88089557,132880612,5821420,60900236,192728671,164496046,115373418
154454493,115533927,3292098,149175908,48350621,53816634,100520481,155776566,174539002,179524359,111661053
134911094,134318454,193680296,159471990,93593862,129626806,63235308,66092353,201540375,160461274,115532363
96641744,96457838,192558827,162217385,81333225,129735347,85383625,46524999,194810470,167242424,117337070
134215227,127689623,187802632,169384052,88029820,139036781,50736530,52960450,193490808,172637886,123354606
150338555,140599166,194080390,167536201,86260251,126241663,50482175,55400552,201540245,167966885,113228716
126923658,156926337,203028610,164563128,86878993,137693266,48804917,58866061,207814652,174895749,122481106
98041840,95322796,204264501,168372950,92245591,130364834,93287891,72598708,208584957,169963955,120962109
173531503,150143056,186893428,165426183,87957374,134031768,51480364,65480497,192800891,166875572,112230639
66744501,72234206,197648150,152976521,91676925,126424036,49919910,50468897,200676145,160914511,110393010
160144710,139830076,203519005,179664268,90984060,126881350,66860614,70610227,207573606,184541685,118945103
150919328,139848159,200463915,172974178,86969075,136164888,59601880,63201060,201898225,174421677,127379080
159608472,127189106,207764796,179091371,86317292,141419821,61352455,71371244,210213312,180289196,126911308
150969629,146913531,200099213,172328980,92122141,140759178,49226414,55214360,200773338,174625516,127379736
104972322,101109290,198413412,157851701,90404210,130668441,46998589,62641096,201777819,162879031,115025917
172605298,167699264,197927471,163540462,92352834,132746839,95322796,73248520,202286552,165895414,121101128
72711161,70124342,206817409,163895253,95165757,130792984,99400143,63613852,211855620,169264703,117481018
118164217,126843801,206555504,16787337,87063280,145392882,49838972,52788166,21060681,171487637,130792984
127159768,113287386,195478793,162682992,92597981,127666618,54820823,65667930,195894297,163345414,122093301
194419513,181615904,215821406,174672255,94015339,136855075,83582700,84946890,33926605,183792473,125091158
188379263,167889025,204142270,164442072,91596061,128451259,61442633,63291339,204318094,167901407,116248315
189751910,145487724,193917753,159739087,83704531,129912810,46320200,48830534,195069131,166293784,116949849
62432642,113177016,202742316,175811638,79990147,130442423,98764287,57602324,20506164,177874975,109587687
156960402,156841375,200653194,165548685,89001886,137605020,92910391,66164011,206151847,167675560,119249487
69179686,73834421,201064999,165792802,92598603,126204466,92919130,69691538,205826957,169001251,115473139
89056548,102765126,210537696,175150519,88946623,138478946,65900002,69815014,216218859,18349723,128381283
82230079,27879055,200432223,169059221,93835395,135577255,73066569,73936915,203178280,172860685,121282876
7613388,103113276,212675214,173755160,95762218,13497485,70447331,75146081,214988932,175368736,11989602
217299512,213831411,52720952,49120201,37451932,87387222,154218824,51966147,216909575,178945612,100715556
151866233,144145348,189825287,166507228,74617139,127179319,51831560,54449077,191290994,170155191,113567833
118596128,113994448,204847229,165678099,93239033,136796369,95881922,65442816,207180177,167297685,118423881
157710677,148324590,192850351,161457933,92286458,127332473,96969954,59688654,193708952,163687630,110169860
162793068,163344339,195544985,164847305,94642533,13185838,96887734,73504165,197276239,166289087,120433453
156884338,157432820,214351264,177582365,94981695,134014957,97200819,82548784,25228247,180387593,126771809
176719744,141089056,212690434,167451748,93371389,128394934,75107782,77873244,216774140,176755966,112217636
67472985,66694999,192143777,165762091,88442158,135350935,5821420,61983488,199485099,169443962,126016875
190121612,174451466,206707489,180507533,98055186,151494066,61611388,70605435,215438801,183563799,127539484
128179194,113435729,195270865,166770360,87611513,138625636,95881922,54891436,198449333,169614299,126556329
111740952,102935443,210541464,168949157,86787284,136081201,69978236,7269971,212891137,173259775,115119086
191677285,160112076,202771317,166334360,92873541,132513820,67006693,72530840,205463922,167756346,118173377
203269594,180109515,208123251,169823188,90315462,137460814,94623158,71565896,209700200,173750669,117880307
217119121,209706551,194871616,16787398,81724265,132811343,87004870,52069477,196858366,170458211,120530840
172981872,167261240,201641086,167075897,88222900,143285900,60581316,62007333,204264501,168949529,134890913
203892488,183814895,70160494,64030343,55765996,98686864,16172471,67963348,42873661,173936148,100749159
149092369,145971828,208606411,161328238,85747288,136868310,64816391,66365427,210630716,161815135,12852081
160103265,148367788,194662935,159244132,86713215,127563177,4223352,48822586,200802060,162655279,116105434
21586414,22397181,205301307,166330473,98222157,131613737,63765359,78795452,209352562,169384052,117290866
80666621,130043666,207341373,159278229,86639791,132779685,63232765,65667930,208306599,164444641,127816236
61585068,38027003,199927037,163895253,86774130,130526973,42970138,48634819,203331320,164936492,116918549
84643133,100971864,211843129,182696667,97869728,132449366,66098778,73613582,25515503,187528621,120654619
91320601,168365108,55893462,217361278,214759326,94385761,157728579,42767481,211701116,175138927,101010392
23510341,31449889,202977853,156610075,90987375,128510619,56963294,63480832,207228920,158864597,117965974
187097349,213286979,208927582,176006195,91103749,135146030,96359015,75193283,214253653,176755966,125173950
213084101,213085090,208169774,186674263,95840770,134750534,73300977,74218643,214071017,191290759,117825990
194302813,195801359,202998003,173534704,89054065,135867403,63980495,66107910,203458212,178045969,117373737
22434461,50763233,197869630,158357030,92107057,132247754,98596787,59906990,199769821,161844616,122848219
163636072,158221423,191899187,160375251,89001886,131121686,92789460,63357760,202733164,165567855,119201618
130277199,134808608,195730642,157036413,88292258,130448283,91711201,72387753,207180177,162903468,109453879
155875828,142486157,206747758,177635265,87666532,143704729,62437634,63074978,213600380,178470622,121492457
110137881,122710857,204358108,168903506,90531776,133093440,55350048,60292175,207663007,16976581,122093301
112172982,101312283,204678434,170673491,86857025,136397542,59078125,63430493,206239842,174396008,120616810
188865211,145189941,213340470,174774431,89504005,133835541,90212103,70316758,22873514,176029560,119307115
201312995,209448199,207518460,171141862,96084002,139440774,97434473,74918562,213371714,172482221,128178984
178970555,173115290,63430493,56501555,46140606,94792628,165039347,61917624,217470835,179653780,101238723
104392736,102105395,204168928,164423156,89332658,127379736,60292175,64436980,206759499,167927325,117377878
110801624,133905852,199667814,163067375,85970704,135867403,51285135,67125288,204680040,167235479,116105434
123452419,126339906,207400225,178894470,91305733,133292419,63291339,69028953,209151302,185063901,118003778
134429562,130364834,207267138,178929816,85820699,135645875,75128208,78807565,208591640,180172571,125584840
184100707,192536943,209126012,173675454,87923669,143904495,91350983,67134765,210403274,175017132,128035394
127296564,112733613,199244290,167451748,92709024,138014812,94689751,60220713,200034337,169841195,123618348
97715788,107029248,208855003,176712253,86289871,145139399,6432966,65576787,209418234,18159571,126798909
71118746,146095315,174783612,145425032,204024256,46405732,101236606,150531054,174579343,28224800,129802567
150452103,141082974,195135834,161773305,90116598,141065034,91784764,60008389,199751511,164059172,121190504
206670121,123130964,203886455,179657377,88421573,136713361,89765040,62638024,206103119,187802632,120012580
33604351,25521209,198191357,169033856,89540623,141209665,50329322,59779641,202215899,17042239,125901594
173825813,193893365,199896480,169917720,95392319,131292367,63392223,70619744,203524237,172512866,116432410
108574443,105149071,195730642,156358621,88553816,123181004,40806553,57102851,199996541,157931182,113435729
6725095,42876412,196900694,167941016,91533152,140061131,95103250,66508474,200446261,170435905,128887349
110573371,119101477,207095785,164563137,93479077,134615686,66298607,7424089,209174803,171963226,127588244
183581553,166432727,209150693,171991752,89963350,133292419,93955143,73993591,212939268,176729730,118965002
104315925,105046079,195544967,155256215,92191372,131045676,95165757,66847975,200566606,158171781,114616791
158116510,159578467,203763900,159431264,89144620,130870206,91631259,70124342,211381048,162735674,116518070
96347472,117480875,194842978,153464544,92349682,129792940,61396349,66759630,198481115,156962389,120820539
80442405,94044162,213838464,183822020,94053972,134959492,96242129,73845639,215458703,185402068,116341090
210942899,210956674,204147864,171075398,90987356,136196621,92735439,73350187,205426995,172913970,118715276
158193384,161233346,202591946,167707388,88089557,144669840,97344258,53018605,204982780,169159820,124926597
194975377,200224630,194080390,161591456,88709627,135353565,60006909,65582929,195345348,166290855,121505742
150031824,144257794,197768677,169638921,93479077,126395390,58300208,62010128,198364255,170300267,114634940
145310471,125585826,47306358,142659691,57616996,58512682,101312283,151095104,174183407,176472684,124317052
